GRID_ID,time,nbart_blue_mean,nbart_green_mean,nbart_red_mean,nbart_nir_1_mean,nbart_swir_2_mean,nbart_swir_3_mean
DIP-3635,2025-01-31,371.2369995117188,507.9689331054688,377.9822692871094,2420.614013671875,1411.4132080078125,700.8922729492188
DIP-3635,2025-02-28,429.1672973632813,554.8593139648438,413.2142028808594,2537.67041015625,1406.0887451171875,659.97021484375
DIP-3635,2025-03-31,4860.958984375,4688.5791015625,4563.2548828125,5303.14892578125,2258.873779296875,1852.069091796875
DIP-3635,2025-04-30,263.3447265625,399.8909912109375,297.44549560546875,2351.46826171875,1288.7261962890625,579.4454956054688
DIP-3635,2025-05-31,290.2826232910156,418.8263549804688,307.8802185058594,2322.169921875,1218.2452392578125,535.605224609375
DIP-3635,2025-06-30,293.9530944824219,420.86566162109375,317.0760498046875,2400.905029296875,1207.460693359375,535.3491821289062
DIP-3635,2025-07-31,265.6432189941406,402.6007690429688,310.2110290527344,2306.5400390625,1224.5621337890625,551.3023071289062
DIP-3635,2025-08-31,285.7642517089844,422.9575500488281,340.4112854003906,2247.250244140625,1268.205322265625,591.9696044921875
DIP-3635,2025-09-30,317.1558837890625,420.64892578125,356.5969543457031,2143.42333984375,1386.89794921875,663.949951171875
DIP-3635,2025-10-31,551.2699584960938,662.6920166015625,555.722412109375,2428.74267578125,1670.4942626953125,870.6666870117188
DIP-3635,2025-11-30,438.8187561035156,564.8656616210938,449.1051940917969,2447.992431640625,1636.9835205078125,843.0836791992188
DIP-3635,2025-12-31,333.66033935546875,483.2864379882813,370.3675537109375,2284.8427734375,1406.85302734375,704.3485717773438
DIP-3636,2025-01-31,333.7943115234375,483.88909912109375,325.8258972167969,2364.95849609375,1078.3916015625,488.3073120117188
DIP-3636,2025-02-28,432.7199401855469,609.8624267578125,416.3358154296875,2709.047607421875,1131.6920166015625,528.0755615234375
DIP-3636,2025-03-31,4859.3671875,4698.40771484375,4588.93603515625,5366.20947265625,2284.678466796875,1933.6474609375
DIP-3636,2025-04-30,243.4095458984375,419.9002380371094,250.90396118164065,2611.505615234375,971.4151000976562,390.8388977050781
DIP-3636,2025-05-31,277.4808044433594,430.0024719238281,259.115234375,2526.2353515625,926.9337158203124,371.5167236328125
DIP-3636,2025-06-30,273.0830383300781,448.4962768554688,271.5762023925781,2744.93359375,955.902099609375,381.7366638183594
DIP-3636,2025-07-31,243.6939239501953,434.4138793945313,264.8246459960937,2665.109619140625,978.0186157226562,395.5805358886719
DIP-3636,2025-08-31,258.8797912597656,444.38970947265625,284.302978515625,2517.270751953125,1009.8748168945312,421.9206848144531
DIP-3636,2025-09-30,309.25836181640625,466.7410278320313,312.8091735839844,2424.1728515625,1074.989501953125,467.4070739746094
DIP-3636,2025-10-31,609.0111694335938,736.1449584960938,563.5538940429688,2486.526611328125,1294.8017578125,648.0929565429688
DIP-3636,2025-11-30,388.6864929199219,544.9603271484375,394.4844970703125,2414.116455078125,1254.2899169921875,580.1573486328125
DIP-3636,2025-12-31,296.27880859375,458.9801635742188,332.16851806640625,2280.176025390625,1102.8748779296875,502.2044677734375
DIP-3637,2025-01-31,352.1601257324219,509.2651977539063,321.4942932128906,2457.056884765625,1064.3974609375,453.6809997558594
DIP-3637,2025-02-28,368.020263671875,547.99365234375,325.5936584472656,2734.85498046875,1018.5240478515624,409.8056945800781
DIP-3637,2025-03-31,5214.38671875,5073.63232421875,4996.4951171875,5731.68212890625,2290.74560546875,2058.541748046875
DIP-3637,2025-04-30,227.0759429931641,409.2303771972656,216.31011962890625,2622.54296875,851.071533203125,317.0386047363281
DIP-3637,2025-05-31,275.79998779296875,429.6734313964844,245.49493408203125,2571.08544921875,815.787353515625,319.462646484375
DIP-3637,2025-06-30,262.6056823730469,451.5227966308594,248.88165283203125,2837.904541015625,859.55126953125,316.718994140625
DIP-3637,2025-07-31,232.8873443603516,441.5443115234375,242.8525390625,2756.994384765625,881.8442993164062,331.9278564453125
DIP-3637,2025-08-31,242.7259521484375,445.6462097167969,255.75949096679688,2580.920166015625,909.06201171875,348.58544921875
DIP-3637,2025-09-30,304.5487365722656,466.0063171386719,289.6240539550781,2522.734130859375,983.1025390625,394.5284729003906
DIP-3637,2025-10-31,764.5595092773438,909.849365234375,714.26708984375,2642.582275390625,1410.165771484375,741.4873657226562
DIP-3637,2025-11-30,371.8999938964844,532.3873291015625,370.1860656738281,2415.843017578125,1147.18359375,497.205078125
DIP-3637,2025-12-31,277.7594909667969,440.2999877929688,301.4936828613281,2273.72900390625,992.2772216796876,421.5974731445313
DIP-3638,2025-01-31,372.0647277832031,530.7442626953125,336.15673828125,2540.721435546875,1086.359130859375,471.0774230957031
DIP-3638,2025-02-28,364.2131958007813,535.1231079101562,314.8426513671875,2713.87109375,963.3502807617188,394.272216796875
DIP-3638,2025-03-31,5267.2412109375,5094.8876953125,4995.22705078125,5746.31201171875,2367.126953125,2146.617431640625
DIP-3638,2025-04-30,221.9314727783203,390.54632568359375,208.10406494140625,2627.0126953125,816.4803466796875,302.215087890625
DIP-3638,2025-05-31,297.590087890625,460.6389465332031,267.9168701171875,2677.067138671875,825.1275634765625,305.8629455566406
DIP-3638,2025-06-30,251.4955596923828,422.1256408691406,230.7969512939453,2819.1484375,803.2589111328125,291.840087890625
DIP-3638,2025-07-31,226.3128204345703,412.909912109375,226.18338012695312,2741.10791015625,806.8546752929688,299.2671203613281
DIP-3638,2025-08-31,238.34518432617188,424.2798156738281,241.621826171875,2622.5615234375,865.8895874023438,327.0793151855469
DIP-3638,2025-09-30,297.1357727050781,455.4187927246094,281.0133361816406,2534.784912109375,950.7810668945312,386.1719665527344
DIP-3638,2025-10-31,583.0913696289062,705.5368041992188,524.18017578125,2682.8642578125,1203.302001953125,640.5228271484375
DIP-3638,2025-11-30,385.6700439453125,538.5875854492188,381.9327392578125,2461.05078125,1147.998779296875,518.2601318359375
DIP-3638,2025-12-31,276.0989990234375,427.7576293945313,290.8565979003906,2244.23974609375,944.2741088867188,407.5418701171875
DIP-3639,2025-01-31,397.0628051757813,558.8692626953125,368.5945434570313,2501.8603515625,1164.5863037109375,524.8667602539062
DIP-3639,2025-02-28,348.08819580078125,520.64404296875,309.0894775390625,2575.42333984375,979.3255004882812,396.8356628417969
DIP-3639,2025-03-31,5032.3427734375,4826.90283203125,4677.02734375,5541.421875,2451.819091796875,2209.413818359375
DIP-3639,2025-04-30,213.09327697753903,382.0970764160156,207.49935913085935,2456.789306640625,830.9733276367188,316.6668701171875
DIP-3639,2025-05-31,282.9619140625,458.7081298828125,269.6802062988281,2515.367431640625,837.1141967773438,319.8692932128906
DIP-3639,2025-06-30,242.6859130859375,417.7715759277344,233.57614135742188,2610.69091796875,816.6339111328125,306.7239990234375
