time,spatial_ref_mean,blue_mean,red_mean,nir08_mean,swir16_mean,swir22_mean,green_mean
2019-12-31,0,2572.876940133038,2706.4645232815965,4816.259423503326,3560.769401330377,2982.060975609756,2763.991130820399
2019-12-31,0,2585.3253968253966,2747.171957671958,4833.7671957671955,3719.0925925925926,3071.9074074074074,2787.8915343915346
2020-01-31,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-29,0,2633.5304878048782,2858.2461197339244,4907.30155210643,3740.3614190687363,3226.7716186252774,2920.181818181818
2020-02-29,0,2578.3293650793653,2669.9206349206347,4950.010582010582,3583.8425925925926,2970.7843915343915,2763.604497354497
2020-03-31,0,2543.324074074074,2590.9708994708994,5116.921957671958,3336.09126984127,2813.6243386243386,2713.6150793650795
2020-03-31,0,2533.9855875831486,2572.8353658536585,4910.70177383592,3203.6136363636365,2757.509423503326,2687.3264966740576
2020-04-30,0,2530.521164021164,2580.4378306878307,4952.6640211640215,3284.1468253968255,2794.600529100529,2686.753968253968
2020-04-30,0,2522.1862527716185,2564.237804878049,4722.545454545455,3151.039356984479,2737.160753880266,2661.9745011086475
2020-05-31,0,2508.8835978835978,2573.846560846561,4817.722222222223,3191.854497354497,2747.7698412698414,2664.362433862434
2020-05-31,0,2503.0166297117516,2556.907982261641,4530.212860310421,3051.89800443459,2691.6042128603103,2639.1485587583147
2020-06-30,0,2504.808201058201,2569.5132275132273,4786.867724867725,3182.1732804232806,2744.6428571428573,2658.7063492063494
2020-06-30,0,2500.055986696231,2550.5631929046563,4484.761640798226,3031.9384700665187,2681.289356984479,2632.120288248337
2020-07-31,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-31,0,2539.798941798942,2625.3174603174602,4694.153439153439,3325.0185185185187,2850.410052910053,2706.584656084656
2020-08-31,0,2526.2804878048782,2595.850332594235,4519.090909090909,3168.4146341463415,2769.669623059867,2677.0365853658536
2020-09-30,0,2520.447893569845,2580.919068736142,4291.640798226164,3120.4368070953437,2742.460088691796,2667.2649667405767
2020-09-30,0,2550.6931216931216,2646.39417989418,4813.0026455026455,3443.328042328042,2898.645502645503,2739.0714285714284
2020-10-31,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-31,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-30,0,2583.7433862433863,2706.9814814814813,5020.661375661376,3668.26455026455,3015.285714285714,2805.4338624338625
2020-11-30,0,2575.870288248337,2682.930155210643,4967.09977827051,3536.192904656319,2940.268292682927,2785.759423503326
2020-12-31,0,2573.671957671958,2706.5185185185187,4870.994708994709,3648.740740740741,3000.6243386243386,2787.0449735449733
2020-12-31,0,2564.978935698448,2682.7749445676277,4861.645232815965,3545.20399113082,2945.7505543237253,2771.6164079822615
2021-01-31,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-31,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-28,0,2701.879157427938,2960.0576496674057,5241.216186252772,3963.278270509978,3366.277161862528,3045.2749445676277
2021-02-28,0,2562.9814814814813,2636.6402116402114,5020.669312169312,3507.8121693121693,2916.4656084656085,2746.1243386243386
2021-03-31,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-30,0,2509.6164079822615,2550.4068736141908,4523.29379157428,3118.305986696231,2721.1158536585367,2640.221175166297
2021-04-30,0,2516.1507936507937,2562.521164021164,4829.525132275132,3237.8915343915346,2767.387566137566,2662.5515873015875
2021-05-31,0,2496.8713968957873,2545.849223946785,4518.9390243902435,3015.420177383592,2671.419068736142,2623.052106430155
2021-05-31,0,2491.8386243386244,2543.240740740741,4600.597883597884,3044.568783068783,2671.4973544973545,2621.600529100529
2021-06-30,0,2497.3115299334813,2542.822062084257,4585.858093126386,3015.6984478935697,2671.2256097560976,2620.620842572062
2021-06-30,0,2506.0013227513227,2558.228835978836,4974.158730158731,3145.6203703703704,2720.3293650793653,2647.6335978835978
2021-07-31,0,2520.564814814815,2572.3531746031745,4980.26455026455,3203.703703703704,2762.3796296296296,2661.7658730158732
2021-07-31,0,2507.243902439024,2554.1735033259424,4630.199002217295,3068.8614190687363,2707.606984478936,2631.8514412416853
2021-08-31,0,2511.481707317073,2561.3652993348114,4657.10088691796,3110.772172949002,2715.9356984478936,2645.302106430155
2021-08-31,0,2519.339947089947,2579.796296296296,4937.205026455026,3241.6097883597886,2773.4603174603176,2670.6481481481483
2021-09-30,0,1764.649667405765,2194.3686252771618,3185.4445676274945,2698.694013303769,2563.0138580931266,2206.94955654102
2021-09-30,0,780.8174603174604,1757.0833333333333,3308.1468253968255,3331.239417989418,3084.453703703704,1660.8796296296296
2021-10-31,0,2526.541019955654,2601.451219512195,4681.665188470067,3219.9961197339244,2781.470620842572,2682.80044345898
2021-10-31,0,2535.458994708995,2630.1111111111113,4831.833333333333,3347.978835978836,2846.3121693121693,2709.1825396825398
2021-11-30,0,2476.257206208426,2590.519401330377,4673.073170731707,3292.3835920177385,2846.5964523281596,2697.4761640798224
2021-11-30,0,2811.425925925926,3547.925925925926,5652.440476190476,4945.728835978836,4193.830687830688,3525.686507936508
2021-12-31,0,3095.6851441241683,3716.758314855876,6011.494456762749,4707.794900221729,4234.90243902439,3785.866962305987
2021-12-31,0,2954.0158730158732,3382.526455026455,6299.227513227514,4552.574074074074,3971.936507936508,3514.415343915344
2022-01-31,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-31,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-28,0,3706.0502645502647,3900.7063492063494,6924.775132275132,4591.653439153439,3809.3439153439153,4059.0343915343915
2022-02-28,0,2973.4745011086475,3243.490022172949,6202.184035476718,4112.59866962306,3534.4235033259424,3394.6884700665187
2022-03-31,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-30,0,2507.9338624338625,2552.7579365079364,5134.089947089947,3158.681216931217,2712.787037037037,2663.1613756613756
2022-04-30,0,2503.019401330377,2544.9340354767182,4890.044345898004,3060.9656319290466,2678.40022172949,2647.679600886918
2022-05-31,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-31,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-30,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-30,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-31,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-31,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-31,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-31,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-30,0,2520.3636363636365,2577.191796008869,4888.067627494457,3127.6485587583147,2724.1685144124167,2675.590909090909
2022-09-30,0,2525.037037037037,2592.572751322751,5108.589947089947,3235.9603174603176,2770.6203703703704,2695.5079365079364
2022-11-30,0,2545.5044345898004,2621.2605321507763,5398.685144124169,3367.350332594235,2858.9445676274945,2771.240576496674
2022-11-30,0,2548.5873015873017,2650.701058201058,5607.206349206349,3518.4338624338625,2937.8518518518517,2804.809523809524
2022-12-31,0,2502.6296296296296,2616.468253968254,4178.075396825397,3096.4973544973545,2771.0978835978835,2700.9298941798943
2022-12-31,0,2486.4844789356985,2539.138026607539,4002.3841463414633,2866.2522172949,2618.0016629711754,2626.720620842572
2023-01-31,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-31,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-28,0,2533.6349206349205,2613.121693121693,5056.421957671958,3284.0767195767194,2802.042328042328,2727.6164021164022
2023-02-28,0,2608.636917960089,2818.3652993348114,5358.0753880266075,3629.167960088692,3135.3652993348114,2930.5376940133037
2023-03-31,0,2564.7461197339244,2673.731707317073,5056.59977827051,3328.869179600887,2890.012195121951,2784.3558758314857
2023-03-31,0,2540.0925925925926,2606.246031746032,5183.611111111111,3310.457671957672,2803.727513227513,2729.957671957672
2023-04-30,0,2509.345238095238,2573.5978835978835,4940.369047619048,3176.037037037037,2737.371693121693,2672.458994708995
2023-04-30,0,2505.039911308204,2560.181818181818,4710.930709534368,3066.8514412416853,2695.8758314855877,2653.3259423503328
2023-05-31,0,2491.9961197339244,2543.320399113082,4611.258314855876,2990.30044345898,2660.0437915742796,2633.70177383592
2023-05-31,0,2492.2195767195767,2553.887566137566,4886.527777777777,3090.887566137566,2694.145502645503,2652.346560846561
2023-06-30,0,2494.281746031746,2559.703703703704,4940.25,3124.4113756613756,2707.6626984126983,2654.6891534391534
2023-06-30,0,2490.741130820399,2543.079822616408,4610.108093126386,2995.788802660754,2659.0814855875833,2629.8625277161864
2023-07-31,0,6407.588137472284,6002.39800443459,6967.875831485588,3769.7533259423503,3205.4262749445675,6153.795454545455
2023-07-31,0,7084.861111111111,6601.416666666667,7598.6005291005295,4236.4537037037035,3520.277777777778,6773.2817460317465
2023-08-31,0,2513.5396825396824,2597.3201058201057,4792.851851851852,3226.1190476190477,2776.791005291005,2685.0873015873017
2023-08-31,0,2512.7172949002215,2587.9634146341464,4603.228381374723,3129.671840354767,2741.5875831485587,2672.3126385809314
2023-09-30,0,4958.59423503326,5327.0354767184035,7361.682926829269,6411.157427937916,6144.565410199557,5108.652993348115
2023-09-30,0,3786.7804232804233,4690.973544973545,6846.8359788359785,6428.2037037037035,6111.034391534392,4410.854497354498
2023-10-31,0,2552.1036585365855,2677.480598669623,4796.827050997783,3404.237804878049,2882.939578713969,2763.1225055432374
2023-10-31,0,2564.636243386243,2736.3531746031745,4898.170634920635,3566.8174603174602,2966.4060846560847,2801.489417989418
2023-11-30,0,2561.213968957871,2678.70066518847,4844.455654101996,3445.5443458980044,2912.391906873614,2757.89689578714
2023-11-30,0,2573.6984126984125,2724.964285714286,4909.141534391534,3596.3809523809523,3000.4669312169312,2786.041005291005
2023-12-31,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-31,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-31,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-31,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-29,0,2523.0776053215077,2566.4966740576497,5127.2522172949,3153.8835920177385,2722.7245011086475,2689.461751662971
2024-02-29,0,2530.228835978836,2578.7738095238096,5301.830687830688,3263.5,2767.9563492063494,2706.1164021164022
2024-03-31,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,0,0.0,0.0,0.0,0.0,0.0,0.0
